other,type,source
comp_HexNAc8Hex6dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc8Hex7dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc8Hex8dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc9Hex1dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc9Hex7dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
comp_HexNAc9Hex7dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0,composition,UniCarbKB
matrixdb:GAG_1,xref,MatrixDB
matrixdb:GAG_2,xref,MatrixDB
matrixdb:GAG_3,xref,MatrixDB
matrixdb:GAG_6,xref,MatrixDB
matrixdb:GAG_9,xref,MatrixDB
