pmid,source
12620237,UniProtKB
12646248,UniProtKB
12654314,UniProtKB
12657638,UniProtKB
12658696,GlyTouCan_glycan
12668675,GlyTouCan_glycan
12697902,GlyTouCan_glycan
12700241,GlyTouCan_glycan
12702669,GlyTouCan_glycan
12716912,GlyTouCan_glycan
12718853,UniProtKB
12731887,UniProtKB
12731890,UniProtKB
12743029,UniProtKB
12754519,UniProtKB
12761161,GlyTouCan_glycan
12761549,GlyTouCan_glycan
12761550,GlyTouCan_glycan
12765790,GlyTouCan_glycan
12768205,UniProtKB
12775711,UniProtKB
12788922,UniProtKB
12792654,UniProtKB
12794138,UniProtKB
12794637,UniProtKB
12799386,UniProtKB
1281977,UniProtKB
12820721,GlyTouCan_glycan
12820722,GlyTouCan_glycan
12820726,GlyTouCan_glycan
12829252,GlyTouCan_glycan
12831837,GlyTouCan_glycan
12833155,UniProtKB
12839991,UniProtKB
12847106,UniProtKB
12851687,GlyTouCan_glycan
12855696,UniProtKB
12859190,UniProtKB
12869558,UniProtKB
12874601,GlyTouCan_glycan
12878160,UniProtKB
12883744,GlyTouCan_glycan
12888274,UniProtKB
12888562,UniProtKB
12889478,GlyTouCan_glycan
1289052,GlyTouCan_glycan
12900380,GlyTouCan_glycan
12901863,UniProtKB
12906826,UniProtKB
12907692,GlyTouCan_glycan
12911312,UniProtKB
12925274,UniProtKB
12925531,UniProtKB
12927778,UniProtKB
12944413,UniProtKB
12946359,GlyTouCan_glycan
12954105,GlyTouCan_glycan
12956774,UniProtKB
12970363,UniProtKB
12995288,GlyTouCan_glycan
1306106,GlyTouCan_glycan
1310942,GlyTouCan_glycan
1323463,UniCarbKB
1323463,UniCarbKB_glycan
1326557,UniProtKB
13367419,GlyTouCan_glycan
1346232,GlyTouCan_glycan
1346716,GlyTouCan_glycan
1349618,GlyTouCan_glycan
1355324,GlyTouCan_glycan
1358980,GlyTouCan_glycan
1370643,GlyTouCan_glycan
1370890,GlyTouCan_glycan
1370965,GlyTouCan_glycan
1371229,GlyTouCan_glycan
1371281,GlyTouCan_glycan
1374031,UniCarbKB_glycan
1377598,GlyTouCan_glycan
1379980,GlyTouCan_glycan
1380064,UniProtKB
1381905,UniProtKB
1385449,GlyTouCan_glycan
1388166,UniCarbKB
1388166,UniCarbKB_glycan
1400872,UniProtKB
1419648,GlyTouCan_glycan
1421410,GlyTouCan_glycan
1421756,UniProtKB
1421757,UniCarbKB
1421757,UniCarbKB_glycan
1421757,UniProtKB
1422133,GlyTouCan_glycan
1445902,UniProtKB
14499575,GlyTouCan_glycan
1451807,UniProtKB
14529283,UniProtKB
14532290,GlyTouCan_glycan
14533679,GlyTouCan_glycan
14555842,GlyTouCan_glycan
1456441,UniCarbKB
1456441,UniCarbKB_glycan
14568956,GlyTouCan_glycan
14573609,UniProtKB
1457969,UniCarbKB
1457969,UniCarbKB_glycan
14593101,GlyTouCan_glycan
14597631,GlyTouCan_glycan
1463457,UniProtKB
14638629,GlyTouCan_glycan
14652017,GlyTouCan_glycan
14658030,GlyTouCan_glycan
14658030,UniProtKB
14660577,UniProtKB
14670721,GlyTouCan_glycan
14670722,GlyTouCan_glycan
14673092,GlyTouCan_glycan
1468573,UniCarbKB
1468573,UniCarbKB_glycan
14685826,GlyTouCan_glycan
14693913,UniCarbKB
14693913,UniCarbKB_glycan
14699159,UniProtKB
14706443,GlyTouCan_glycan
14707133,UniProtKB
1471247,GlyTouCan_glycan
14718370,UniProtKB
1472036,UniProtKB
14736333,GlyTouCan_glycan
14736812,GlyTouCan_glycan
14741734,GlyTouCan_glycan
14747736,UniProtKB
14749323,UniProtKB
14749383,GlyTouCan_glycan
14754895,UniProtKB
14760718,UniProtKB
14769026,UniCarbKB
14769026,UniProtKB
1482348,UniCarbKB
1482348,UniCarbKB_glycan
1482348,UniProtKB
14960498,GlyTouCan_glycan
14981520,UniProtKB
14981698,GlyTouCan_glycan
14985449,GlyTouCan_glycan
15003450,UniProtKB
15010458,UniProtKB
15014073,GlyTouCan_glycan
15014436,UniProtKB
15033940,GlyTouCan_glycan
15044018,UniProtKB
15047055,UniProtKB
15047606,GlyTouCan_glycan
15054092,UniProtKB
1505778,UniProtKB
15066430,UniProtKB
15084671,UniProtKB
15093539,UniProtKB
15099525,UniProtKB
15102839,UniProtKB
15107857,UniProtKB
15117952,UniProtKB
15121843,GlyTouCan_glycan
1512232,GlyTouCan_glycan
1512232,UniProtKB
15123316,GlyTouCan_glycan
1513058,GlyTouCan_glycan
15152093,UniProtKB
15158436,GlyTouCan_glycan
1516058,GlyTouCan_glycan
15168731,GlyTouCan_glycan
1517205,UniProtKB
15173186,UniProtKB
15175329,GlyTouCan_glycan
15179519,GlyTouCan_glycan
15182935,GlyTouCan_glycan
15183739,GlyTouCan_glycan
1520302,GlyTouCan_glycan
15203345,GlyTouCan_glycan
15221966,GlyTouCan_glycan
15223242,GlyTouCan_glycan
15229394,GlyTouCan_glycan
15231659,GlyTouCan_glycan
1523927,GlyTouCan_glycan
15249677,GlyTouCan_glycan
1524967,GlyTouCan_glycan
15253437,UniProtKB
15254193,UniProtKB
15257103,GlyTouCan_glycan
15272600,GlyTouCan_glycan
15277677,GlyTouCan_glycan
15299444,UniProtKB
15299793,UniProtKB
1530634,UniProtKB
15308636,UniProtKB
15313217,GlyTouCan_glycan
15319280,GlyTouCan_glycan
15322139,GlyTouCan_glycan
15330211,GlyTouCan_glycan
15331613,UniProtKB
1533633,UniProtKB
15336570,GlyTouCan_glycan
1533657,UniProtKB
15340146,GlyTouCan_glycan
15340146,UniProtKB
15350125,UniProtKB
15351705,GlyTouCan_glycan
15373830,GlyTouCan_glycan
15379548,UniProtKB
15385547,UniProtKB
1544894,UniProtKB
15454184,UniCarbKB
15454184,UniCarbKB_glycan
15458386,UniProtKB
15464996,GlyTouCan_glycan
15466023,GlyTouCan_glycan
15466199,GlyTouCan_glycan
15476821,UniProtKB
15477100,UniProtKB
15486088,UniProtKB
1548698,GlyTouCan_glycan
15498570,UniProtKB
15501227,GlyTouCan_glycan
15504740,UniProtKB
15505339,GlyTouCan_glycan
15505370,GlyTouCan_glycan
1551440,UniProtKB
15522226,UniProtKB
15532026,UniProtKB
15536336,GlyTouCan_glycan
15536627,UniCarbKB
15536627,UniCarbKB_glycan
15536627,UniProtKB
15539921,GlyTouCan_glycan
1556128,UniProtKB
15606899,UniProtKB
15623485,GlyTouCan_glycan
15628971,UniProtKB
15644310,UniProtKB
15651049,UniProtKB
15657036,UniProtKB
15662415,UniProtKB
15667209,UniProtKB
1567169,GlyTouCan_glycan
1567198,GlyTouCan_glycan
1567356,UniProtKB
15677325,UniProtKB
15687489,UniProtKB
1569071,UniProtKB
1569188,UniProtKB
15696168,UniProtKB
15701648,GlyTouCan_glycan
15702487,UniCarbKB
15702487,UniCarbKB_glycan
15704108,GlyTouCan_glycan
15721351,GlyTouCan_glycan
1572372,GlyTouCan_glycan
15723809,UniProtKB
15728350,UniProtKB
15730515,GlyTouCan_glycan
15738388,UniProtKB
15746967,GlyTouCan_glycan
15750791,UniProtKB
15770530,GlyTouCan_glycan
1577108,GlyTouCan_glycan
1577766,GlyTouCan_glycan
15791836,GlyTouCan_glycan
15807535,UniProtKB
15807538,GlyTouCan_glycan
15809306,UniProtKB
1581307,UniProtKB
15823095,UniProtKB
1583718,GlyTouCan_glycan
15843572,GlyTouCan_glycan
15861141,UniProtKB
15862866,GlyTouCan_glycan
15863501,UniProtKB
15864746,GlyTouCan_glycan
15864747,GlyTouCan_glycan
15864748,GlyTouCan_glycan
15869464,UniProtKB
1587788,GlyTouCan_glycan
15901639,UniProtKB
15907468,UniProtKB
15944793,GlyTouCan_glycan
15946677,UniProtKB
15961631,UniProtKB
15965977,UniProtKB
15967512,GlyTouCan_glycan
15983417,UniProtKB
15993892,UniProtKB
16000877,GlyTouCan_glycan
16002697,UniProtKB
16002699,UniProtKB
16007091,UniProtKB
16014566,UniProtKB
